label,DependenceEntropy,DependenceNonUniformity,DependenceNonUniformityNormalized,DependenceVariance,GrayLevelNonUniformity,GrayLevelVariance,HighGrayLevelEmphasis,LargeDependenceEmphasis,LargeDependenceHighGrayLevelEmphasis,LargeDependenceLowGrayLevelEmphasis,LowGrayLevelEmphasis,SmallDependenceEmphasis,SmallDependenceHighGrayLevelEmphasis,SmallDependenceLowGrayLevelEmphasis
0,7.110975,290.9519,0.21859647,2.828861,47.10368,75.1343,2424.725,10.1810665,21448.547,0.00546014,0.0004676854,0.352049,895.3497,0.0001549286
0,6.92055,220.6604,0.16578543,3.626948,77.69271,48.983227,2076.8242,14.619835,30455.004,0.0075570145,0.0006302615,0.26922655,531.4137,0.00022810999
0,6.8244243,88.10293,0.06619304,24.074266,199.96318,13.204678,213.54094,83.205864,21023.459,0.43171316,0.008813089,0.09390817,14.978678,0.0012714894
0,6.0746307,71.62058,0.053809606,27.7674,402.51465,1.0129688,182.74605,149.52893,26838.482,0.8417789,0.005594007,0.026524879,4.7878203,0.00015870636
0,7.0627313,262.7175,0.19738355,2.7706785,56.929375,53.752853,3425.514,11.012021,38631.527,0.0033411882,0.00031391482,0.3220051,1069.8063,0.00010454412
0,7.1260343,232.52066,0.1746962,3.4772747,55.115704,50.328777,2947.7769,13.793388,39325.676,0.006018498,0.0011143279,0.27520564,815.133,0.0008496245
0,7.4327254,278.95343,0.20958184,17.81657,46.089405,746.9146,4235.632,30.248686,34413.57,24.12595,0.10751392,0.41142908,1635.3403,0.0014824996
0,6.230464,61.306538,0.04606051,50.738716,378.21863,3.0513914,36.536438,225.0541,9584.329,20.29962,0.0959758,0.024465622,0.85580295,0.002368209
0,6.0047593,60.577763,0.045512967,38.029106,518.27423,0.6383794,263.6093,248.35538,65575.695,0.9459475,0.0038321672,0.01576268,4.0165887,6.46509e-05
0,5.619468,70.735535,0.053144656,38.11273,579.9707,0.39100996,56.410217,308.02478,17556.186,5.519582,0.018248515,0.009526639,0.5311726,0.00017975674
0,6.6937923,95.312546,0.07160973,23.758354,197.82043,9.221704,103.14125,80.26221,10327.595,1.3879615,0.027627846,0.081754416,6.3137918,0.0023768237
0,6.4177847,121.390686,0.09120262,10.440164,185.77986,5.126444,233.88354,46.792637,10571.77,0.22015058,0.004657536,0.09356941,22.177608,0.00044530994
0,6.8866014,168.81216,0.12683108,5.742927,100.663414,22.655111,1392.1,24.373404,35319.5,0.017511513,0.0007850099,0.17503963,226.18144,0.00016025765
0,7.007587,214.84073,0.16141301,3.7380366,73.870026,42.601917,1754.7957,15.6356125,28298.113,0.009269291,0.00074030133,0.24279998,389.6315,0.000262642
0,6.5189724,74.247185,0.055783007,37.624336,226.89783,3.6384263,15.901578,162.92638,1328.447,90.68894,0.28609017,0.02725909,0.6699843,0.0039449874
0,7.3462358,211.46431,0.15887627,38.846554,79.09016,624.4272,2618.1067,65.806915,23080.39,59.23747,0.198761,0.35223877,1025.3145,0.0014137655
0,7.117721,360.67993,0.27098417,1.5271492,43.26446,155.07593,3844.429,6.2907586,24933.316,0.11538164,0.007181722,0.4700328,1733.7769,0.00093710015
0,7.3330216,311.1127,0.23374358,1.6578362,39.51991,162.4366,1590.0955,7.6311045,12936.844,0.018470839,0.0030003453,0.39527437,604.7599,0.0012567503
0,5.0098577,71.680695,0.053854764,47.052063,822.8242,0.20649134,33.848236,330.51013,11585.673,9.532021,0.030333407,0.011043442,0.3761369,0.00034894282
0,6.714437,199.33809,0.14976566,4.108913,95.50188,14.64516,1821.3741,20.151014,35335.723,0.011806031,0.0005671474,0.16474827,309.818,9.1680195e-05
0,6.792889,92.3178,0.069359735,19.349098,184.96394,5.2557445,93.22915,96.26371,7575.719,1.4539334,0.013371088,0.03935476,4.514343,0.00046333848
0,7.3000093,178.84523,0.13436906,35.355396,81.91961,442.35556,1791.5792,64.01127,21636.664,55.06369,0.18997419,0.30452815,586.8106,0.0018545431
0,6.5221515,110.72953,0.083192736,13.881519,202.713,4.6066256,240.94817,60.55372,14339.2,0.2670965,0.004633056,0.072990045,17.426268,0.00041488127
0,6.8105483,269.54544,0.20251349,2.7483852,70.34486,38.882397,679.4553,10.355371,6274.668,0.019353345,0.0019936818,0.36071703,273.60568,0.0007890445
0,7.7854424,308.3193,0.23164485,23.592096,43.21037,986.3281,4020.012,37.39519,21790.229,32.733425,0.1366819,0.4599733,2115.0115,0.0015839451
0,7.1566114,212.80766,0.15988554,4.83743,58.923367,73.11446,2852.329,16.09091,37838.66,0.007235312,0.00038574304,0.308773,1025.7181,0.000101361504
0,6.776406,72.305786,0.054324407,31.554592,224.29677,21.140116,168.9151,127.87753,24832.908,13.064713,0.104026526,0.051172942,6.51779,0.0019983149
0,6.7337523,84.436516,0.0634384,21.432142,210.96844,3.6625915,1093.2081,100.362885,112802.9,0.08994104,0.0009279033,0.048392802,49.85865,4.8917875e-05
0,7.3396287,343.10068,0.25777662,1.6527469,33.745304,149.9186,1760.7559,6.8317056,13669.285,0.005539249,0.0010072556,0.44146305,718.05133,0.0005129797
