label,10Percentile,90Percentile,Energy,Entropy,InterquartileRange,Kurtosis,Maximum,Mean,MeanAbsoluteDeviation,Median,Minimum,Range,RobustMeanAbsoluteDeviation,RootMeanSquared,Skewness,TotalEnergy,Uniformity,Variance
0,0.0,251.0,52872944.0,2.923056,88.0,3.5968804,281.0,183.60255,61.18607,214.0,0.0,281.0,61.853966,199.30937,-1.2905552,52872944.0,0.16549642,6014.3267
0,921.0,1132.0,1396039000.0,3.7388043,89.5,6.654597,1462.0,1019.10895,69.66776,1001.0,794.0,668.0,38.720932,1024.141,1.6640816,1396039000.0,0.09963699,10281.747
0,103.763145,1065.2291,721575550.0,5.274284,695.35925,1.7457091,1251.2645,636.543,326.9069,753.2953,0.0,1251.2645,265.6511,736.29504,-0.40268394,721575550.0,0.031665295,136943.34
0,611.0,1362.0,1728933900.0,5.1126084,276.0,4.2989154,1641.0,1100.825,224.51184,1204.0,56.0,1585.0,139.48306,1139.7252,-1.4051366,1728933900.0,0.04004999,87158.016
0,1098.0,1213.0,1801160000.0,3.066637,58.0,18.704659,1681.0,1160.3674,47.475548,1146.0,1040.0,641.0,24.65024,1163.2876,3.4921813,1801160000.0,0.15806794,6785.5938
0,347.0,395.0,184877280.0,1.7844065,25.0,3.8928359,438.0,372.17206,15.531559,374.0,283.0,155.0,10.928652,372.6943,-0.2320037,184877280.0,0.34641144,389.00195
0,214.0,284.0,87701736.0,2.1472502,27.0,15.927431,325.0,250.75732,31.349224,267.0,0.0,325.0,13.133099,256.6936,-3.4784029,87701736.0,0.30032328,3012.3745
0,118.0,168.0,27379440.0,1.8183967,24.5,6.7295017,189.0,141.75658,15.868456,143.0,24.0,165.0,10.140573,143.42447,-1.1541269,27379440.0,0.35417974,475.65225
0,252.0,293.0,98877540.0,1.8198779,19.0,13.774938,356.0,271.20737,16.15796,274.0,113.0,243.0,8.376515,272.55853,-2.5310364,98877540.0,0.37016112,734.72485
0,824.0,1198.0,1409128300.0,4.6120787,157.0,7.313131,1364.0,1012.65967,125.05862,1040.0,140.0,1224.0,71.16547,1028.931,-1.6797512,1409128300.0,0.053951852,33219.426
0,861.0,1313.0,1446989600.0,4.4912,233.5,2.7646806,1580.0,1028.5492,141.16797,968.0,731.0,849.0,101.60157,1042.6624,0.88718575,1446989600.0,0.056593593,29231.193
0,957.0,1420.0,1976210600.0,4.9631295,228.5,7.0204115,1721.0,1193.692,168.7945,1240.0,129.0,1592.0,95.24697,1218.5057,-1.7016441,1976210600.0,0.042069677,59855.72
0,0.0,977.0,607794500.0,4.7040787,770.0,1.5084643,1116.0,554.9744,350.68124,682.0,0.0,1116.0,341.13235,675.7551,-0.34100157,607794500.0,0.07126427,148648.38
0,0.0,459.0,110630710.0,3.8571484,419.0,1.3559914,542.0,218.45004,174.77051,182.0,0.0,542.0,159.76196,288.30276,0.14694951,110630710.0,0.10572314,35398.074
0,677.0,1651.0,2433725000.0,5.592864,395.5,4.2531834,1996.0,1297.9512,285.41742,1405.0,0.0,1996.0,173.48195,1352.218,-1.2886995,2433725000.0,0.027404645,143816.31
0,954.0,1333.0,1650065800.0,4.3462224,182.0,3.1778038,1605.0,1103.7693,116.47105,1058.0,776.0,829.0,79.21962,1113.4266,0.8971741,1650065800.0,0.06402207,21412.111
