label,Busyness,Coarseness,Complexity,Contrast,Strength
0,0.050450634,0.0069114002,13493.391,0.44633135,18.39499
1,0.010197518,0.007192868,18228.4,0.5346609,61.557922
0,0.06048128,0.006051233,2390.0652,0.19122547,4.175963
0,0.35776165,0.00416866,2227.0923,0.6181724,10.665352
1,0.49822453,0.0055535175,171.4721,0.2056521,1.8680431
0,0.08212787,0.008257635,1241.6853,0.09180145,8.231404
0,1.5415925,0.008100891,2.8642378,0.016491372,0.06477084
0,0.1603689,0.009050478,340.36652,0.11917872,1.6235906
0,0.038735107,0.007340624,3891.1345,0.16606909,11.57167
0,0.10336124,0.009128819,616.4253,0.12780404,2.8516805
0,0.12007544,0.00278808,8774.318,1.0246993,22.30114
0,1.6486232,0.003668528,333.89938,0.3720504,1.9393852
0,52.081112,0.0053043356,0.28328326,0.06673461,0.0053098206
0,0.02837152,0.008382253,18198.682,0.645413,33.649185
0,0.44909585,0.007173954,79.56127,0.043922752,1.4910398
0,0.05150715,0.008138685,1966.4735,0.13926433,8.376116
0,0.28438368,0.011306156,110.23843,0.062016334,1.6083876
0,0.03465304,0.006008871,8136.91,0.19264731,12.139085
0,0.056891657,0.011457995,1387.7731,0.2247719,6.048497
0,0.033796888,0.0069900635,5181.0996,0.10820772,20.246607
0,6.0691075,0.007563366,1.5762519,0.013234144,0.038339853
0,1.6906633,0.006174336,12.910798,0.011805663,0.30683354
0,0.040600147,0.005982793,8195.194,0.72238064,27.90582
0,2.3835516,0.0077359304,2.9264185,0.01637429,0.068491764
0,0.07002747,0.0039334716,10566.275,1.0189837,17.06346
0,0.06482506,0.008428307,1259.7916,0.070390716,8.947951
0,0.08179031,0.007368348,1636.7109,0.1659722,4.876993
0,0.06774643,0.0083546555,1380.7557,0.16275182,3.887162
0,0.10374755,0.009409753,441.39996,0.16946003,2.6014802
0,0.544909,0.010612659,33.18427,0.0187098,0.84617054
0,0.28015572,0.0010579976,17412.223,1.7705553,26.626863
0,0.7566535,0.006307728,137.2548,0.14030503,0.6996512
0,0.063216045,0.0052561634,4548.7485,0.24014941,6.7570243
0,0.042945113,0.0054840744,12924.334,0.42248493,11.561771
0,0.06261335,0.006997981,11679.249,0.91458374,12.373352
0,0.27938882,0.003810341,1795.648,0.4559968,19.64792
0,0.86566776,0.008007527,22.166023,0.018775484,0.3631411
0,0.05500086,0.009438068,875.0452,0.10653678,6.282796
0,0.036371574,0.010259783,7371.3804,0.48892587,16.519814
0,0.026622068,0.014187787,4429.3447,0.21057409,30.185001
0,0.07603991,0.010618091,1086.284,0.14141972,5.6800785
0,0.08105591,0.010125923,1552.4535,0.26956487,5.899865
0,1.2731465,0.011158277,75.05148,0.117548846,0.8382392
0,0.0676093,0.009423872,1090.5442,0.07806713,6.958797
0,0.28224126,0.0065083187,284.06497,0.14132048,1.8026382
0,1.087431,0.010686472,6.5310283,0.024443673,0.17599857
1,0.031694237,0.0044262293,25281.69,1.3189144,118.93401
0,0.024777899,0.012102857,7043.813,0.2715063,32.411713
0,0.16220157,0.0044938587,12852.39,0.96286875,15.941527
0,0.023278635,0.00669375,28647.488,0.5211485,25.893784
0,0.8698311,0.0055004535,54.460457,0.021407466,0.7437536
0,10.924342,0.0022184632,144.52892,0.74054205,1.4181705
1,0.012093151,0.008663622,1940.867,0.045004122,42.378284
0,25.917063,0.0090767285,5.490205,0.048122946,0.16189404
0,0.16713324,0.0038153657,5150.7407,0.8193728,7.496369
0,0.42618337,0.0018110081,10154.718,0.8554026,32.82902
0,0.026758607,0.0064799194,12902.194,0.3065104,15.952557
0,3.4246922,0.0066805566,3.0796266,0.007954231,0.07942636
0,0.03438696,0.008116813,6453.6924,0.2488669,15.856092
1,0.03000451,0.0070830574,4454.2666,0.1214275,9.936284
0,1.4369267,0.005004443,41.83628,0.04215959,0.35678145
0,0.0665978,0.0066212188,1661.1641,0.10797984,4.0290413
0,0.049020108,0.006878706,2687.7395,0.1251504,5.5979815
0,0.066091456,0.0049465722,6712.805,0.31776896,7.4170804
0,0.16566677,0.0060951775,394.0546,0.049106527,1.6081976
0,7.4009333,0.00792396,9.226099,0.0854089,0.22436829
0,2.7761557,0.008158736,21.236897,0.070828915,0.20622627
0,0.07302078,0.0032074715,21095.666,1.3749585,20.649178
0,3.4167542,0.0068313517,3.5447683,0.013002388,0.051960338
0,1.2770828,0.0063785636,79.510925,0.17176312,0.8574687
0,0.06543599,0.0062357485,5685.234,0.21774212,7.730731
0,0.053586766,0.007805391,3898.6038,0.19652167,9.363181
0,0.19028099,0.0026688506,8439.799,1.0091976,34.1947
0,0.14987242,0.008340114,231.65466,0.023067733,2.6162405
0,0.17620839,0.005946867,355.9512,0.09520318,0.97701985
0,0.045667473,0.00654113,6661.2383,0.18050683,10.212113
0,0.06049316,0.009093087,1843.9724,0.12560618,7.468453
0,0.03296566,0.009928732,1574.0287,0.12883668,8.788693
0,0.09254757,0.007621188,701.454,0.13148388,2.2994018
0,0.026670959,0.0071771573,10047.895,0.23387673,20.287945
0,0.14887185,0.0024259523,10168.541,0.86962664,13.58821
0,0.057339527,0.01093174,777.10486,0.13566999,4.738351
0,0.03668954,0.0062898295,9544.153,0.26794696,14.361823
0,0.078689836,0.0069302674,1415.6019,0.17134614,3.7208908
0,0.046403136,0.007318017,4974.474,0.358151,11.553397
0,0.06792825,0.009244346,1319.1581,0.12719865,5.6513906
0,0.06625979,0.007967702,1132.1296,0.07764328,4.6289687
0,0.0354814,0.0080864895,4053.2551,0.16350059,15.223883
0,0.3193306,0.008211019,82.74323,0.014569343,1.6843446
