label,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelZoneEmphasis,LargeAreaEmphasis,LargeAreaHighGrayLevelEmphasis,LargeAreaLowGrayLevelEmphasis,LowGrayLevelZoneEmphasis,SizeZoneNonUniformity,SizeZoneNonUniformityNormalized,SmallAreaEmphasis,SmallAreaHighGrayLevelEmphasis,SmallAreaLowGrayLevelEmphasis,ZoneEntropy,ZonePercentage,ZoneVariance
0,20.996515,0.036579296,77.63979,3745.4827,17.391987,54072.027,0.0059559955,0.00028867152,243.81534,0.42476538,0.67763853,2567.1465,0.0001925148,6.5414824,0.43125468,12.015081
0,7.2222223,0.10030864,9.583333,79.02778,1902.6528,78804.664,80.0661,0.03212906,13.472222,0.1871142,0.4359233,33.461452,0.0127353985,5.3570175,0.054094665,1560.9165
0,15.293333,0.025488889,208.14305,2090.2566,16.558332,37310.027,0.011450995,0.0017022075,270.81668,0.45136112,0.6986585,1403.2068,0.0012243345,6.946278,0.4507889,11.637331
0,3.8333333,0.31944445,1.9722222,142.0,61857.582,7751852.5,496.36984,0.0075001656,1.3333334,0.11111111,0.19970703,33.25392,0.0012169773,3.4182959,0.009015777,49555.08
0,16.666666,0.03052503,82.47758,3174.1228,25.983517,61104.83,0.0117413215,0.0003522814,220.87546,0.4045338,0.66072625,2131.9963,0.00022873205,6.71611,0.41021788,20.040995
0,3.909091,0.3553719,1.2396694,28.09091,80953.0,2833406.2,2343.349,0.04383684,1.3636364,0.12396694,0.11692746,4.9309077,0.0036460285,3.4594316,0.008264462,66312.0
0,3.0,0.14285715,10.058957,100.7619,26777.285,776320.25,22113.688,0.05935261,4.5238094,0.2154195,0.45523566,45.09794,0.0067386306,4.106603,0.01577761,22760.14
0,13.210084,0.055504553,29.653696,171.2437,318.33194,15724.139,26.55615,0.017140491,74.36975,0.31247795,0.5791079,101.510086,0.0074054943,6.1029706,0.17881292,287.05658
0,5.6923075,0.0729783,18.983564,182.6923,1685.9615,414339.75,7.186916,0.011040492,9.0,0.115384616,0.32139102,54.80702,0.003879774,6.019314,0.058602553,1394.778
0,3.3076923,0.25443786,1.6094675,27.384615,72923.766,2495276.5,2170.4077,0.0469318,3.4615386,0.2662722,0.27183664,6.531253,0.013698329,3.3927474,0.009767093,62441.16
0,2.75,0.34375,1.609375,167.375,106957.625,15818779.0,725.9098,0.0062248367,1.25,0.15625,0.28292185,55.334995,0.001448441,2.75,0.0060105184,79276.984
0,8.792747,0.04555827,42.784184,1220.0208,446.03625,410547.7,0.4968759,0.0009430252,60.11917,0.31149828,0.57706165,727.24457,0.0005240991,6.233555,0.14500375,398.47632
0,10.228347,0.04026908,49.91768,299.03543,703.5079,89795.13,525.29706,0.01658234,110.07874,0.43338087,0.6834737,198.68419,0.0073342435,6.005028,0.19083396,676.04865
0,14.134475,0.017279308,368.35675,2490.0967,4.913203,14162.514,0.0067940233,0.0015590419,440.33984,0.5383128,0.76192427,1875.3275,0.0011868399,7.1494994,0.6145755,2.2656205
0,9.424581,0.01755043,389.50482,1482.4413,517.2644,4464.756,513.2972,0.0059460127,309.9609,0.57720834,0.7880992,1192.1938,0.0029721954,6.886544,0.40345606,511.12106
0,10.474576,0.01775352,270.37094,1971.4441,342.00848,7598.134,338.66467,0.0033539536,315.08475,0.53404194,0.7590081,1464.1693,0.001281254,6.9367013,0.44327572,336.91925
0,18.374796,0.030073315,86.56751,3278.725,13.22586,35578.887,0.0053821816,0.00034140778,263.35678,0.43102583,0.68244404,2231.093,0.0002341224,6.6507025,0.45905334,8.48045
0,4.027027,0.108838566,14.336012,127.72973,8544.405,1183928.2,65.705956,0.06422719,4.5675673,0.12344777,0.33675388,43.103146,0.0112789925,4.9728346,0.027798647,7250.3506
0,4.3333335,0.16049382,4.9245543,69.51852,13045.148,897806.8,197.87079,0.020465747,3.5925925,0.13305898,0.32359135,19.664001,0.007489231,4.4306326,0.0202855,10615.023
