label,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelRunEmphasis,LongRunEmphasis,LongRunHighGrayLevelEmphasis,LongRunLowGrayLevelEmphasis,LowGrayLevelRunEmphasis,RunEntropy,RunLengthNonUniformity,RunLengthNonUniformityNormalized,RunPercentage,RunVariance,ShortRunEmphasis,ShortRunHighGrayLevelEmphasis,ShortRunLowGrayLevelEmphasis
0,116.50048,0.12215677,7.2976313,121.870476,2.8207898,379.81973,0.028670138,0.011504935,4.3100476,557.5227,0.57882196,0.7142692,0.778436,0.78642654,93.30768,0.009299709
0,64.18199,0.057306852,40.411922,631.1006,1.6951656,964.56866,0.003627267,0.0020040988,5.1400223,828.6907,0.7376571,0.8402589,0.26468596,0.88168657,572.7727,0.0017310036
0,59.369934,0.04882978,53.272236,1904.5146,1.3155044,2449.9614,0.0007770617,0.0005838825,5.11811,1028.3267,0.8444281,0.9133098,0.11240383,0.93496966,1790.2977,0.0005445854
0,70.130455,0.057986442,37.190353,1992.2257,1.3251477,2648.977,0.0016075188,0.0014395721,4.8452992,1009.10767,0.8337573,0.9086286,0.11228312,0.9304899,1852.3835,0.0014034596
0,33.7835,0.03221043,651.8143,2620.243,2.690701,3146.3757,1.6667377,0.11964508,6.1117826,799.50934,0.76998484,0.77998036,1.0333865,0.8946869,2514.2034,0.04404725
0,28.29054,0.02230378,373.77524,3424.028,1.1621557,3957.4844,0.047516674,0.016376834,6.0333366,1161.5212,0.91538864,0.95295614,0.060163792,0.9661762,3306.5027,0.01185544
0,44.837536,0.037941452,222.30122,1467.6505,1.4962982,1899.3195,0.30455878,0.057375602,5.5657625,970.0681,0.8204055,0.88747615,0.22296737,0.9235207,1376.3541,0.0336258
0,38.662327,0.030978756,185.14597,2230.48,1.2216719,2670.3313,0.060473587,0.017694985,5.6577225,1110.6128,0.8893028,0.93769866,0.08305047,0.9550369,2134.4854,0.011862472
0,77.389656,0.06918884,18.450056,142.89687,1.6880059,256.81635,0.027265994,0.01868765,4.6830397,825.50653,0.7354397,0.84002775,0.25936615,0.880714,123.492355,0.01713085
0,48.482445,0.03917236,204.18198,2556.6519,1.245272,3260.0066,0.0015297944,0.0012945861,5.5241623,1079.9456,0.8717136,0.92978096,0.08635509,0.9473866,2406.7546,0.0012425192
