no,feature1,feature2,corrcoef
761,original_firstorder_MeanAbsoluteDeviation.nrrd,original_glrlm_LongRunLowGrayLevelEmphasis.nrrd,0.7886001422895681
762,original_firstorder_MeanAbsoluteDeviation.nrrd,original_glrlm_LowGrayLevelRunEmphasis.nrrd,0.7733713394295955
770,original_firstorder_MeanAbsoluteDeviation.nrrd,original_glrlm_ShortRunLowGrayLevelEmphasis.nrrd,0.7691120114680363
775,original_firstorder_MeanAbsoluteDeviation.nrrd,original_glszm_LargeAreaEmphasis.nrrd,0.661481765337412
776,original_firstorder_MeanAbsoluteDeviation.nrrd,original_glszm_LargeAreaHighGrayLevelEmphasis.nrrd,0.7052949649491381
777,original_firstorder_MeanAbsoluteDeviation.nrrd,original_glszm_LargeAreaLowGrayLevelEmphasis.nrrd,0.6597076134455353
778,original_firstorder_MeanAbsoluteDeviation.nrrd,original_glszm_LowGrayLevelZoneEmphasis.nrrd,0.7091819776626802
783,original_firstorder_MeanAbsoluteDeviation.nrrd,original_glszm_SmallAreaLowGrayLevelEmphasis.nrrd,0.6574908532786485
786,original_firstorder_MeanAbsoluteDeviation.nrrd,original_glszm_ZoneVariance.nrrd,0.5168611551253324
796,original_firstorder_Median.nrrd,original_firstorder_Skewness.nrrd,-0.305109501
801,original_firstorder_Median.nrrd,original_glcm_ClusterProminence.nrrd,0.7119029703365879
802,original_firstorder_Median.nrrd,original_glcm_ClusterShade.nrrd,-0.244508788
817,original_firstorder_Median.nrrd,original_glcm_JointEnergy.nrrd,0.7710693725780403
834,original_firstorder_Median.nrrd,original_gldm_LowGrayLevelEmphasis.nrrd,0.7515645569626169
837,original_firstorder_Median.nrrd,original_gldm_SmallDependenceLowGrayLevelEmphasis.nrrd,0.6213028596933251
844,original_firstorder_Median.nrrd,original_glrlm_LongRunLowGrayLevelEmphasis.nrrd,0.7678355073480011
845,original_firstorder_Median.nrrd,original_glrlm_LowGrayLevelRunEmphasis.nrrd,0.7462443260475145
853,original_firstorder_Median.nrrd,original_glrlm_ShortRunLowGrayLevelEmphasis.nrrd,0.7404367922937433
858,original_firstorder_Median.nrrd,original_glszm_LargeAreaEmphasis.nrrd,0.759677640387545
859,original_firstorder_Median.nrrd,original_glszm_LargeAreaHighGrayLevelEmphasis.nrrd,0.795817054410578
860,original_firstorder_Median.nrrd,original_glszm_LargeAreaLowGrayLevelEmphasis.nrrd,0.7336909969123299
861,original_firstorder_Median.nrrd,original_glszm_LowGrayLevelZoneEmphasis.nrrd,0.676826052423156
866,original_firstorder_Median.nrrd,original_glszm_SmallAreaLowGrayLevelEmphasis.nrrd,0.6162183716128415
869,original_firstorder_Median.nrrd,original_glszm_ZoneVariance.nrrd,0.6204864812293983
875,original_firstorder_Minimum.nrrd,original_firstorder_Range.nrrd,0.6793042856452953
876,original_firstorder_Minimum.nrrd,original_firstorder_RobustMeanAbsoluteDeviation.nrrd,0.734939947067062
878,original_firstorder_Minimum.nrrd,original_firstorder_Skewness.nrrd,0.076670137155547
879,original_firstorder_Minimum.nrrd,original_firstorder_TotalEnergy.nrrd,0.7267709141818888
881,original_firstorder_Minimum.nrrd,original_firstorder_Variance.nrrd,0.5955784411252335
883,original_firstorder_Minimum.nrrd,original_glcm_ClusterProminence.nrrd,0.3578956236480203
884,original_firstorder_Minimum.nrrd,original_glcm_ClusterShade.nrrd,0.0824827241868312
885,original_firstorder_Minimum.nrrd,original_glcm_ClusterTendency.nrrd,0.5884580771136572
886,original_firstorder_Minimum.nrrd,original_glcm_Contrast.nrrd,0.5310563743470075
888,original_firstorder_Minimum.nrrd,original_glcm_DifferenceAverage.nrrd,0.6834413750504433
889,original_firstorder_Minimum.nrrd,original_glcm_DifferenceEntropy.nrrd,0.7766995648742653
890,original_firstorder_Minimum.nrrd,original_glcm_DifferenceVariance.nrrd,0.509273072590876
895,original_firstorder_Minimum.nrrd,original_glcm_Imc1.nrrd,-0.790604123
900,original_firstorder_Minimum.nrrd,original_glcm_JointEntropy.nrrd,0.7979364039227472
904,original_firstorder_Minimum.nrrd,original_glcm_SumEntropy.nrrd,0.7997200889324682
905,original_firstorder_Minimum.nrrd,original_glcm_SumSquares.nrrd,0.5824057418743859
907,original_firstorder_Minimum.nrrd,original_gldm_DependenceNonUniformity.nrrd,0.6766165837675049
908,original_firstorder_Minimum.nrrd,original_gldm_DependenceNonUniformityNormalized.nrrd,0.7492337769643298
911,original_firstorder_Minimum.nrrd,original_gldm_GrayLevelVariance.nrrd,0.5957498572171116
915,original_firstorder_Minimum.nrrd,original_gldm_LargeDependenceLowGrayLevelEmphasis.nrrd,0.767483472086745
916,original_firstorder_Minimum.nrrd,original_gldm_LowGrayLevelEmphasis.nrrd,0.4864032636076552
917,original_firstorder_Minimum.nrrd,original_gldm_SmallDependenceEmphasis.nrrd,0.7529599415137601
918,original_firstorder_Minimum.nrrd,original_gldm_SmallDependenceHighGrayLevelEmphasis.nrrd,0.7497781021157723
919,original_firstorder_Minimum.nrrd,original_gldm_SmallDependenceLowGrayLevelEmphasis.nrrd,0.3174942984846191
922,original_firstorder_Minimum.nrrd,original_glrlm_GrayLevelVariance.nrrd,0.5962022268661594
926,original_firstorder_Minimum.nrrd,original_glrlm_LongRunLowGrayLevelEmphasis.nrrd,0.5142555934739399
927,original_firstorder_Minimum.nrrd,original_glrlm_LowGrayLevelRunEmphasis.nrrd,0.4800092526426588
929,original_firstorder_Minimum.nrrd,original_glrlm_RunLengthNonUniformity.nrrd,0.735918484615209
935,original_firstorder_Minimum.nrrd,original_glrlm_ShortRunLowGrayLevelEmphasis.nrrd,0.4712998463771448
936,original_firstorder_Minimum.nrrd,original_glszm_GrayLevelNonUniformity.nrrd,0.7616128084607899
938,original_firstorder_Minimum.nrrd,original_glszm_GrayLevelVariance.nrrd,0.6021747358766115
942,original_firstorder_Minimum.nrrd,original_glszm_LargeAreaLowGrayLevelEmphasis.nrrd,0.7453344215424993
943,original_firstorder_Minimum.nrrd,original_glszm_LowGrayLevelZoneEmphasis.nrrd,0.4012899979417141
944,original_firstorder_Minimum.nrrd,original_glszm_SizeZoneNonUniformity.nrrd,0.6330837941389599
945,original_firstorder_Minimum.nrrd,original_glszm_SizeZoneNonUniformityNormalized.nrrd,0.7697603544239338
946,original_firstorder_Minimum.nrrd,original_glszm_SmallAreaEmphasis.nrrd,0.7962645247316917
947,original_firstorder_Minimum.nrrd,original_glszm_SmallAreaHighGrayLevelEmphasis.nrrd,0.7958454842600703
948,original_firstorder_Minimum.nrrd,original_glszm_SmallAreaLowGrayLevelEmphasis.nrrd,0.328209338122245
950,original_firstorder_Minimum.nrrd,original_glszm_ZonePercentage.nrrd,0.7586631842004561
951,original_firstorder_Minimum.nrrd,original_glszm_ZoneVariance.nrrd,0.7195238081824532
954,original_firstorder_Minimum.nrrd,original_ngtdm_Complexity.nrrd,0.4489768114315887
955,original_firstorder_Minimum.nrrd,original_ngtdm_Contrast.nrrd,0.6929228432801746
956,original_firstorder_Minimum.nrrd,original_ngtdm_Strength.nrrd,0.6433582585554932
959,original_firstorder_Range.nrrd,original_firstorder_Skewness.nrrd,-0.345869588
964,original_firstorder_Range.nrrd,original_glcm_ClusterProminence.nrrd,0.7872687137971587
965,original_firstorder_Range.nrrd,original_glcm_ClusterShade.nrrd,-0.279708032
980,original_firstorder_Range.nrrd,original_glcm_JointEnergy.nrrd,0.6731839479707991
982,original_firstorder_Range.nrrd,original_glcm_MaximumProbability.nrrd,0.7602867959104876
997,original_firstorder_Range.nrrd,original_gldm_LowGrayLevelEmphasis.nrrd,0.7903738361248375
1000,original_firstorder_Range.nrrd,original_gldm_SmallDependenceLowGrayLevelEmphasis.nrrd,0.6864305834916289
1008,original_firstorder_Range.nrrd,original_glrlm_LowGrayLevelRunEmphasis.nrrd,0.7858362403012252
1016,original_firstorder_Range.nrrd,original_glrlm_ShortRunLowGrayLevelEmphasis.nrrd,0.7816477455612417
1021,original_firstorder_Range.nrrd,original_glszm_LargeAreaEmphasis.nrrd,0.6596517433559037
1022,original_firstorder_Range.nrrd,original_glszm_LargeAreaHighGrayLevelEmphasis.nrrd,0.6923687312752893
1023,original_firstorder_Range.nrrd,original_glszm_LargeAreaLowGrayLevelEmphasis.nrrd,0.6615151110329028
1024,original_firstorder_Range.nrrd,original_glszm_LowGrayLevelZoneEmphasis.nrrd,0.7251356143449614
1029,original_firstorder_Range.nrrd,original_glszm_SmallAreaLowGrayLevelEmphasis.nrrd,0.6749275816718464
1032,original_firstorder_Range.nrrd,original_glszm_ZoneVariance.nrrd,0.5134507437151378
1034,original_firstorder_Range.nrrd,original_ngtdm_Coarseness.nrrd,0.7947054865163216
1039,original_firstorder_RobustMeanAbsoluteDeviation.nrrd,original_firstorder_Skewness.nrrd,-0.308511212
1045,original_firstorder_RobustMeanAbsoluteDeviation.nrrd,original_glcm_ClusterShade.nrrd,-0.293171198
1060,original_firstorder_RobustMeanAbsoluteDeviation.nrrd,original_glcm_JointEnergy.nrrd,0.6601821691254111
1062,original_firstorder_RobustMeanAbsoluteDeviation.nrrd,original_glcm_MaximumProbability.nrrd,0.7459747707297874
1077,original_firstorder_RobustMeanAbsoluteDeviation.nrrd,original_gldm_LowGrayLevelEmphasis.nrrd,0.7498639424589555
1080,original_firstorder_RobustMeanAbsoluteDeviation.nrrd,original_gldm_SmallDependenceLowGrayLevelEmphasis.nrrd,0.6424408162863392
1087,original_firstorder_RobustMeanAbsoluteDeviation.nrrd,original_glrlm_LongRunLowGrayLevelEmphasis.nrrd,0.7607890425526531
1088,original_firstorder_RobustMeanAbsoluteDeviation.nrrd,original_glrlm_LowGrayLevelRunEmphasis.nrrd,0.744963775147638
